name,url,group,country,language,quality,category,tags
SBS Food,http://44.32.200.212:5004/auto/v33,Lifestyle,Australia,English,,Lifestyle,"food,lifestyle"
NITV,http://44.32.200.212:5004/auto/v34,General,Australia,English,,General,"indigenous,general"
Network 10,http://115.69.40.212:55555/10HD%20Newcastle,General,Australia,English,,General,general
10 Drama,http://44.32.200.212:5004/auto/v12,Entertainment,Australia,English,,Entertainment,drama
10 Comedy,http://44.32.200.212:5004/auto/v11,Entertainment,Australia,English,,Entertainment,comedy
Nickelodeon,http://44.32.200.212:5004/auto/v13,Kids,Australia,English,,Kids,kids
You TV,http://44.32.200.212:5004/auto/v16,Entertainment,Australia,English,,Entertainment,entertainment
Gecko,http://44.32.200.212:5004/auto/v17,Kids,Australia,English,,Kids,kids
7 Network,http://115.69.40.212:55555/7HD%20Newcastle,General,Australia,English,,General,general
7two,http://44.32.200.212:5004/auto/v72,General,Australia,English,,General,general
7mate,http://115.69.40.212:55555/7mateHD%20Newcastle,Entertainment,Australia,English,,Entertainment,entertainment
7flix,http://115.69.40.212:55555/7flix,Movies,Australia,English,,Movies,movies
7bravo,http://115.69.40.212:55555/7bravo,Entertainment,Australia,English,,Entertainment,entertainment
Racing.com,https://racingvic-i.akamaized.net/hls/live/598695/racingvic/index1500.m3u8,Sports,Australia,English,,Sports,"sports,racing"
TVSN,https://tvsnhlslivetest.akamaized.net/hls/live/2034711/TVSN-MSL4/master.m3u8,Shopping,Australia,English,,Shopping,shopping
9 Network,http://115.69.40.212:55555/9HD%20Newcastle,General,Australia,English,,General,general
9Go!,http://115.69.40.212:55555/9Go!%20Newcastle,Entertainment,Australia,English,,Entertainment,entertainment
9Gem,http://115.69.40.212:55555/9GemHD%20Newcastle,Entertainment,Australia,English,,Entertainment,entertainment
9Life,http://115.69.40.212:55555/9Life%20Newcastle,Lifestyle,Australia,English,,Lifestyle,lifestyle
9Rush,http://44.32.200.212:5004/auto/v96,Entertainment,Australia,English,,Entertainment,entertainment
VRT 1,http://192.145.57.85:9981/stream/channelid/2124641217?profile=pass,General,Belgium,Dutch,,General,"public,general"
VRT Canvas,http://192.145.57.85:9981/stream/channelid/288829476?profile=pass,Culture,Belgium,Dutch,,Culture,"culture,public"
Ketnet,http://192.145.57.85:9981/stream/channelid/1372631070?profile=pass,Kids,Belgium,Dutch,,Kids,"kids,public"
La Une,http://94.140.179.76:9981/stream/channelid/811293455?profile=pass,General,Belgium,French,,General,"general,public"
La Trois,http://94.140.179.76:9981/stream/channelid/1504907165?profile=pass,Culture,Belgium,French,,Culture,"culture,public"
VTM,https://dpp-live-events.medialaancdn.be/events/hls/aes/webstream1.m3u8,General,Belgium,Dutch,,General,general
VTM 2,http://94.140.179.76:9981/stream/channelid/797606576?profile=pass,General,Belgium,Dutch,,General,general
Play4,http://94.140.179.76:9981/stream/channelid/1055186061?profile=pass,Entertainment,Belgium,Dutch,,Entertainment,entertainment
Play5,http://94.140.179.76:9981/stream/channelid/1264893039?profile=pass,Entertainment,Belgium,Dutch,,Entertainment,entertainment
RTL TVI,https://tvi-live-hls.akamaized.net/hls/live/2038650/TVI-Live-HLS/master.m3u8,General,Belgium,French,,General,general
Belsat,http://78.56.193.170:9981/stream/channelid/358696833?profile=pass,News,Belarus,Belarusian,,News,news
BHT 1 HD,https://mob.webtvstream.bhtelecom.ba/hls13/bhrtportal_hd_1200.m3u8,General,Bosnia,Bosnian,HD,General,"public,general"
Arena 1X2 HD,http://31.47.28.102:8000/play/a00c,Sports,Bosnia,Bosnian,HD,Sports,sports
Arena Fight HD,http://31.47.28.102:8000/play/a00x,Sports,Bosnia,Bosnian,HD,Sports,"sports,mma"
Arena Sport 1 HD,http://31.47.28.102:8000/play/a002,Sports,Bosnia,Bosnian,HD,Sports,sports
